postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
380,US-IL-ORD,405,352,17,36,0,10
381,US-IL-ORD,533,435,34,64,0,19
382,US-IL-ORD,55,48,2,5,0,2
383,US-IL-ORD,164,140,15,9,0,4
384,US-IL-ORD,126,112,8,6,0,1
385,US-IL-ORD,205,176,18,11,0,3
386,US-IL-ORD,247,198,21,28,0,11
387,US-IL-ORD,21,20,1,0,0,0
388,US-IL-ORD,75,65,6,4,0,1
389,US-IL-ORD,24,14,6,4,0,0
390,US-IL-ORD,82,70,5,7,0,5
391,US-IL-ORD,98,80,5,13,0,3
392,US-IL-ORD,74,55,15,4,0,2
393,US-IL-ORD,66,61,3,2,0,1
394,US-IL-ORD,130,104,20,6,0,1
395,US-IL-ORD,344,268,51,25,0,2
396,US-IL-ORD,21,17,2,2,0,0
397,US-IL-ORD,107,94,7,6,0,1
398,US-IL-ORD,23,5,18,0,0,0
400,US-IL-ORD,355,318,11,26,0,3
401,US-IL-ORD,120,105,10,5,0,0
402,US-IL-ORD,1167,1001,44,122,0,24
403,US-IL-ORD,285,250,11,24,0,7
404,US-IL-ORD,153,129,11,13,0,1
405,US-IL-ORD,545,469,29,47,0,6
406,US-IL-ORD,65,55,4,6,0,0
407,US-IL-ORD,58,46,8,4,0,0
408,US-IL-ORD,8,8,0,0,0,0
409,US-IL-ORD,20,14,6,0,0,0
410,US-IL-ORD,750,644,34,72,0,11
411,US-IL-ORD,53,47,3,3,0,0
412,US-IL-ORD,12,9,2,1,0,0
413,US-IL-ORD,12,10,2,0,0,0
414,US-IL-ORD,4,4,0,0,0,0
415,US-IL-ORD,23,16,3,4,0,1
416,US-IL-ORD,6,1,5,0,0,0
417,US-IL-ORD,9,9,0,0,0,0
418,US-IL-ORD,6,5,1,0,0,0
420,US-IL-ORD,152,133,11,8,0,0
421,US-IL-ORD,178,162,8,8,0,1
422,US-IL-ORD,72,65,2,5,0,1
423,US-IL-ORD,98,86,3,9,0,0
424,US-IL-ORD,39,33,3,3,0,1
425,US-IL-ORD,41,37,3,1,0,0
426,US-IL-ORD,19,13,6,0,0,0
427,US-IL-ORD,92,79,6,7,0,0
430,US-IL-ORD,1829,1583,109,137,0,9
431,US-IL-ORD,510,440,20,50,0,7
432,US-IL-ORD,1547,1300,95,152,0,16
433,US-IL-ORD,142,125,7,10,0,2
434,US-IL-ORD,222,192,17,13,0,1
435,US-IL-ORD,475,404,27,44,0,2
436,US-IL-ORD,313,266,19,28,0,8
437,US-IL-ORD,133,116,7,10,0,3
438,US-IL-ORD,47,43,0,4,0,2
439,US-IL-ORD,102,84,6,12,0,3
440,US-IL-ORD,1370,1166,89,115,0,12
441,US-IL-ORD,2145,1866,91,188,0,17
442,US-IL-ORD,980,839,50,91,0,7
443,US-IL-ORD,410,346,30,34,0,5
444,US-IL-ORD,298,254,19,25,0,0
445,US-IL-ORD,138,118,7,13,0,2
446,US-IL-ORD,441,377,23,41,0,2
447,US-IL-ORD,222,197,4,21,0,1
448,US-IL-ORD,312,266,28,18,0,4
449,US-IL-ORD,97,85,9,3,0,0
450,US-IL-ORD,1184,1037,50,97,0,11
451,US-IL-ORD,508,453,18,37,0,3
452,US-IL-ORD,1667,1447,80,140,0,26
453,US-IL-ORD,721,630,37,54,0,4
454,US-IL-ORD,1007,873,44,90,0,21
455,US-IL-ORD,62,58,2,2,0,1
456,US-IL-ORD,174,152,13,9,0,3
457,US-IL-ORD,100,93,3,4,0,1
458,US-IL-ORD,385,353,11,21,0,3
460,US-IL-ORD,1271,1116,47,108,0,9
461,US-IL-ORD,793,687,38,68,0,8
462,US-IL-ORD,1401,1205,63,133,0,19
463,US-IL-ORD,810,708,31,71,0,6
464,US-IL-ORD,56,47,3,6,0,2
465,US-IL-ORD,522,455,26,41,0,8
466,US-IL-ORD,242,213,10,19,0,4
467,US-IL-ORD,356,319,11,26,0,1
468,US-IL-ORD,565,490,32,43,0,7
469,US-IL-ORD,219,196,12,11,0,4
470,US-IL-ORD,78,71,4,3,0,0
471,US-IL-ORD,346,308,20,18,0,0
472,US-IL-ORD,230,201,14,15,0,3
473,US-IL-ORD,212,177,17,18,0,4
474,US-IL-ORD,471,419,14,38,0,3
475,US-IL-ORD,92,83,6,3,0,0
476,US-IL-ORD,108,94,7,7,0,2
477,US-IL-ORD,195,157,16,22,0,4
478,US-IL-ORD,115,105,5,5,0,1
479,US-IL-ORD,551,477,27,47,0,6
480,US-IL-ORD,2035,1757,76,202,0,26
481,US-IL-ORD,3665,3226,136,303,0,32
482,US-IL-ORD,786,649,34,103,0,22
483,US-IL-ORD,2353,2078,89,186,0,17
484,US-IL-ORD,530,465,34,31,0,3
485,US-IL-ORD,135,107,14,14,0,0
486,US-IL-ORD,421,371,21,29,0,2
487,US-IL-ORD,200,186,8,6,0,1
488,US-IL-ORD,1086,978,45,63,0,9
489,US-IL-ORD,400,342,23,35,0,4
490,US-IL-ORD,1123,978,58,87,0,11
491,US-IL-ORD,156,134,8,14,0,0
492,US-IL-ORD,337,291,17,29,0,4
493,US-IL-ORD,617,559,27,31,0,2
494,US-IL-ORD,1051,925,60,66,0,8
495,US-IL-ORD,981,853,52,76,0,9
496,US-IL-ORD,336,304,18,14,0,2
497,US-IL-ORD,302,263,18,21,0,4
498,US-IL-ORD,191,175,9,7,0,1
499,US-IL-ORD,109,104,3,2,0,3
500,US-IL-ORD,686,616,25,45,0,2
501,US-IL-ORD,306,273,14,19,0,3
502,US-IL-ORD,499,442,27,30,0,1
503,US-IL-ORD,647,566,28,53,0,4
504,US-IL-ORD,121,109,7,5,0,0
505,US-IL-ORD,109,103,5,1,0,2
506,US-IL-ORD,227,199,15,13,0,1
507,US-IL-ORD,77,66,4,7,0,3
508,US-IL-ORD,14,10,1,3,0,0
510,US-IL-ORD,47,41,4,2,0,1
511,US-IL-ORD,74,57,12,5,0,2
512,US-IL-ORD,41,39,2,0,0,0
513,US-IL-ORD,57,50,2,5,0,0
514,US-IL-ORD,25,21,4,0,0,0
515,US-IL-ORD,188,159,19,10,0,0
516,US-IL-ORD,9,9,0,0,0,0
520,US-IL-ORD,172,157,7,8,0,1
521,US-IL-ORD,31,27,3,1,0,0
522,US-IL-ORD,357,313,9,35,0,7
523,US-IL-ORD,361,324,13,24,0,4
524,US-IL-ORD,349,305,14,30,0,3
525,US-IL-ORD,92,81,6,5,0,0
526,US-IL-ORD,81,68,7,6,0,2
527,US-IL-ORD,198,176,4,18,0,3
528,US-IL-ORD,122,104,9,9,0,1
530,US-IL-ORD,1543,1383,56,104,0,9
531,US-IL-ORD,1393,1233,49,111,0,13
532,US-IL-ORD,1537,1346,58,133,0,17
534,US-IL-ORD,194,174,7,13,0,2
535,US-IL-ORD,1950,1734,83,133,0,13
537,US-IL-ORD,1811,1627,62,121,1,11
538,US-IL-ORD,44,43,1,0,0,0
539,US-IL-ORD,259,232,14,13,0,2
540,US-IL-ORD,265,224,12,29,0,5
541,US-IL-ORD,333,304,11,18,0,1
542,US-IL-ORD,155,129,13,13,0,1
543,US-IL-ORD,295,257,11,27,0,3
544,US-IL-ORD,502,443,24,35,0,1
545,US-IL-ORD,98,90,4,4,0,7
546,US-IL-ORD,375,340,16,19,0,3
547,US-IL-ORD,441,393,24,24,0,5
548,US-IL-ORD,249,232,8,9,0,1
549,US-IL-ORD,950,860,32,58,0,5
550,US-IL-ORD,1460,1267,78,115,0,15
551,US-IL-ORD,2488,2173,100,215,0,22
553,US-IL-ORD,2519,2182,113,224,0,27
554,US-IL-ORD,3789,3323,131,335,0,37
556,US-IL-ORD,46,24,20,2,0,1
557,US-IL-ORD,180,155,13,12,0,2
558,US-IL-ORD,265,225,19,21,0,2
559,US-IL-ORD,769,684,26,59,0,6
560,US-IL-ORD,334,300,15,19,0,1
561,US-IL-ORD,76,71,1,4,0,0
562,US-IL-ORD,121,114,4,3,0,0
563,US-IL-ORD,371,325,27,19,0,4
564,US-IL-ORD,167,145,11,11,0,5
565,US-IL-ORD,187,75,95,17,0,4
566,US-IL-ORD,117,111,2,4,0,1
567,US-IL-ORD,61,59,1,1,0,1
570,US-IL-ORD,232,199,13,20,0,4
571,US-IL-ORD,373,322,15,36,0,4
572,US-IL-ORD,54,48,4,2,0,0
573,US-IL-ORD,42,36,2,4,0,0
574,US-IL-ORD,59,55,2,2,0,1
575,US-IL-ORD,34,28,3,3,0,0
576,US-IL-ORD,8,8,0,0,0,0
577,US-IL-ORD,265,1,248,16,0,6
580,US-IL-ORD,124,103,11,10,0,4
581,US-IL-ORD,227,199,6,22,0,0
582,US-IL-ORD,130,116,5,9,0,1
583,US-IL-ORD,23,15,8,0,0,0
584,US-IL-ORD,33,31,1,1,0,0
585,US-IL-ORD,181,157,8,16,0,0
586,US-IL-ORD,29,2,25,2,0,0
587,US-IL-ORD,66,1,56,9,0,2
588,US-IL-ORD,50,1,47,2,0,0
590,US-IL-ORD,40,5,35,0,0,0
591,US-IL-ORD,106,0,85,21,0,1
592,US-IL-ORD,26,3,22,1,0,0
593,US-IL-ORD,17,2,15,0,0,1
594,US-IL-ORD,130,5,120,5,0,1
595,US-IL-ORD,7,0,7,0,0,0
596,US-IL-ORD,148,2,133,13,0,2
597,US-IL-ORD,378,8,338,32,0,7
598,US-IL-ORD,191,7,165,19,0,4
599,US-IL-ORD,189,8,172,9,0,4
600,US-IL-ORD,4042,3535,135,372,0,28
601,US-IL-ORD,3083,2710,104,269,0,28
602,US-IL-ORD,305,268,10,27,0,3
603,US-IL-ORD,273,236,6,31,0,6
604,US-IL-ORD,1678,1465,52,161,0,20
605,US-IL-ORD,2456,2130,95,231,0,10
606,US-IL-ORD,6314,5428,233,652,1,68
607,US-IL-ORD,174,153,5,16,0,2
608,US-IL-ORD,70,62,1,7,0,3
609,US-IL-ORD,111,94,7,10,0,1
610,US-IL-ORD,342,301,16,25,0,3
611,US-IL-ORD,335,302,10,23,0,2
612,US-IL-ORD,242,205,11,26,0,2
613,US-IL-ORD,118,109,4,5,0,1
614,US-IL-ORD,104,88,7,9,0,2
615,US-IL-ORD,354,307,17,30,0,2
616,US-IL-ORD,292,259,10,23,0,4
617,US-IL-ORD,494,434,20,40,0,2
